id,word,class,level,past,past_participle,plural,sfi_rank,meaning_ko,meaning_ja,ex_biz,ex_biz_ko,ex_biz_ja,ex_daily,ex_daily_ko,ex_daily_ja
ox_00794,chain,verb,b2,,,,1518,"사슬, 체인, 연쇄",鎖、チェーン、連鎖,The [chain] of events led to the crisis.,일련의 사건들이 위기로 이어졌습니다.,一連の出来事が危機を招きました。,The bike [chain] is broken.,자전거 체인이 고장 났어.,自転車のチェーンが壊れています。
ox_00795,chair,noun,a1,,,,1060,의자,椅子,Sit in this [chair].,이 의자에 앉으세요.,この椅子に座ってください。,Move the [chair].,의자 좀 옮겨줘.,椅子を動かして。
ox_00796,chair,verb,b2,,,,1060,의장을 맡다,議長を務める,She was asked to [chair] the next meeting.,그녀는 다음 회의의 의장을 맡아달라는 요청을 받았습니다.,彼女は次の会議の議長を務めるよう依頼されました。,Who will [chair] the committee?,누가 위원회 의장을 맡을 거니?,誰が委員会の議長を務めるのですか？
ox_00797,chairman,noun,b2,,,,1662,"의장, 회장",議長、会長,The [chairman] announced the annual results.,의장이 연간 실적을 발표했습니다.,会長が年度実績を発表しました。,He was appointed as the new [chairman].,그는 새로운 회장으로 임명되었어.,彼は新しい会長に任命されました。
ox_00798,challenge,noun,b1,,,,766,"도전, 난제",挑戦、課題,The new project is a big [challenge].,새로운 프로젝트는 큰 도전입니다.,新しいプロジェクトは大きな課題です。,I like a [challenge].,나는 도전을 좋아해.,私は挑戦するのが好きです。
ox_00799,challenge,verb,b2,,,,766,도전하다,挑戦する,We need to [challenge] the current market leader.,우리는 현재의 시장 선두주자에게 도전해야 합니다.,現在の市場リーダーに挑戦する必要があります。,Don't [challenge] my authority.,내 권위에 도전하지 마.,私の権限に歯向かわないでください。
ox_00800,challenging,adjective,b2,,,,90611,"도전적인, 힘든",やりがいのある、困難な,The new project is very [challenging].,새 프로젝트는 매우 도전적(어려움)입니다.,新しいプロジェクトは非常にやりがいがあります。,Teaching is a [challenging] job.,가르치는 것은 힘든 일이야.,教えることは大変な仕事です。
ox_00801,chamber,noun,c1,,,,2531,"실(방), 회의실",部屋、会議場,The [chamber] of commerce is located downtown.,상공회의소는 시내에 위치해 있습니다.,商工会議所は中心街にあります。,The heart has four [chambers] in total.,심장은 총 네 개의 방(실)으로 되어 있어.,心臓には全部で4つの室があります。
ox_00802,champion,noun,b1,,,,2446,"우승자, 챔피언",チャンピオン、王者,Our company is a [champion] of quality.,우리 회사는 품질의 챔피언입니다.,我が社は品質の王者です。,He is a boxing [champion].,복싱 챔피언이야.,彼はボクシングのチャンピオンです。
ox_00803,championship,noun,b2,,,,2640,"선수권 대회, 우승",選手権、優勝,Our team won the regional [championship].,우리 팀이 지역 선수권 대회에서 우승했습니다.,私たちのチームは地域の選手権で優勝しました。,The [championship] starts next week.,선수권 대회가 다음 주에 시작해.,選手権は来週始まります。
ox_00804,chance,noun,a2,,,,560,"기회, 가능성",機会、可能性,It is a big [chance] for us.,우리에게 큰 기회입니다.,私たちにとって大きなチャンスです。,Give me a [chance].,기회를 한 번 줘.,チャンスをください。
ox_00805,change,noun,a1,,,,113,"변화, 잔돈",変化、お釣り,We need a [change].,우리는 변화가 필요합니다.,私たちは変化が必要です。,Do you have [change]?,잔돈 있니?,お釣りはありますか？
ox_00806,change,verb,a1,,,,113,"변하다, 바꾸다",変わる、変える,[Change] the plan.,계획을 바꾸세요.,計画を変えてください。,[Change] your clothes.,옷을 갈아입어.,服を着替えなさい。
ox_00807,channel,noun,b1,,,,1532,"경로, 채널, 수로",チャンネル、経路,We use a new marketing [channel].,우리는 새로운 마케팅 채널을 사용합니다.,新しいマーケティングチャネルを利用しています。,Change the TV [channel].,TV 채널 좀 돌려봐.,テレビのチャンネルを変えなさい。
ox_00808,chaos,noun,c1,,,,90612,"혼란, 무질서",混乱、カオス,The news caused total [chaos] in the market.,그 소식은 시장에 완전한 혼란을 야기했습니다.,そのニュースは市場に完全な混乱を招きました。,The meeting room was in total [chaos].,회의실 안이 완전 난장판(혼란)이었어.,会議室の中は完全に混乱した状態でした。
ox_00809,chapter,noun,b1,,,,1275,"장, 챕터",章,Read the first [chapter] of the manual.,설명서의 첫 번째 장을 읽으세요.,マニュアルの第一章を読んでください。,This is a sad [chapter] in the book.,이 책에서 이 장(챕터)은 슬퍼.,この本のこの章は悲しいです。
ox_00810,character,noun,a2,,,,693,"등장인물, 성격, 글자",登場人物、性格、文字,Check every [character].,모든 글자(문자)를 확인하세요.,すべての文字を確認してください。,I like that [character].,나 저 캐릭터 좋아해.,あのキャラクターが好きです。
ox_00811,characteristic,adjective,b2,,,,1582,"특유의, 독특한",特徴的な,The [characteristic] smell of coffee filled the room.,커피 특유의 향이 방을 채웠습니다.,コーヒー特有の香りが部屋に充満しました。,This is a [characteristic] feature of the era.,이것은 그 시대의 특징적인 모습이야.,これはその時代の特徴的な機能です。
ox_00812,characteristic,noun,b2,,,,1582,"특징적인, 특유의",特徴的な、特有の,The [characteristic] scent of the product is unique.,그 제품 특유의 향은 독특합니다.,その製品特有の香りはユニークです。,He spoke with [characteristic] honesty.,그는 그다운(특징적인) 정직함으로 말했어.,彼は彼らしい正直さで話しました。
ox_00813,characterize,verb,c1,,,,2325,~의 특징이 되다,〜を特徴づける,Honesty [characterizes] his entire career.,정직함이 그의 전체 경력의 특징입니다.,正直さが彼の全キャリアを特徴づけています。,How would you [characterize] this style?,이 스타일을 어떻게 특징짓겠니?,このスタイルをどのように特徴づけますか？
ox_00814,charge,noun,b1,,,,498,"요금, 책임, 충전",料金、責任、充電,Who is in [charge] of this?,누가 이것을 책임지고(담당하고) 있습니까?,誰がこれを担当していますか？,A small [charge].,적은 요금.,少額の料金。
ox_00815,charge,verb,b1,,,,498,"청구하다, 충전하다",請求する、充電する,How much do you [charge]?,얼마를 청구하시나요?,いくら請求しますか？,I must [charge] my phone.,나 폰 충전해야 해.,スマホを充電しなければなりません。
ox_00816,charity,noun,a2,,,,2354,"자선 (단체), 구호품",慈善（団体）、思いやり,The firm donated $1 million to [charity].,회사는 자선 단체에 100만 달러를 기부했습니다.,会社は慈善団体に100万ドルを寄付しました。,She does a lot of work for local [charities].,그녀는 지역 자선 단체들을 위해 많은 일을 해.,彼女は地元の慈善団体のために多くの仕事をしています。
ox_00817,charm,noun,c1,,,,2376,"매력, 부적",魅力、お守り,The old city has a lot of [charm].,그 오래된 도시는 매력이 아주 많습니다.,その古都にはたくさんの魅力があります。,She wears a lucky [charm] on her bag.,그녀는 가방에 행운의 부적을 달고 있어.,彼女はバッグに幸運のお守をつけています。
ox_00818,charming,adjective,b2,,,,91119,매력적인,魅力的な,He gave a [charming] presentation to the board.,그는 이사회에서 매력적인 발표를 했습니다.,彼は理事会で魅力的なプレゼンテーションを行いました。,What a [charming] little house!,정말 매력적인 작은 집이네!,なんて魅力的な小さな家でしょう！
ox_00819,chart,noun,a1,,,,1741,"차트, 도표",チャート、図,Look at the [chart].,도표를 보세요.,図を見てください。,Make a [chart] for school.,학교 숙제로 차트를 만들어봐.,学校のために図を作りなさい。
ox_00820,chart,verb,b2,,,,1741,"도표로 나타내다, 도표를 작성하다",図表化する、チャートにする,We [charted] sales trends over the last year.,우리는 지난 1년간 매출 추세를 도표로 만들었다.,私たちは過去1年の売上傾向を図表化した。,He [charted] his running times in a notebook.,그는 공책에 달리기 기록을 도표로 정리했다.,彼はノートにランニングの記録を表にした。
ox_00821,charter,noun,c1,,,,90690,"헌장, 전세기",憲章、チャーター,The UN [charter] was signed many years ago.,UN 헌장은 수년 전에 체결되었습니다.,国連憲章はずいぶん前に署名されました。,We booked a [charter] flight for the team.,우리는 팀을 위해 전세기를 예약했어.,私たちはチームのためにチャーター便を予約しました。
ox_00822,chase,noun,b2,,,,2706,"추격, 추적",追跡、チェイス,The police [chase] ended in an arrest.,경찰의 추격은 체포로 끝났습니다.,警察の追跡は逮捕で終わりました。,The cat is in [chase] of a mouse.,고양이가 쥐를 쫓고 있어.,猫がネズミを追いかけています。
ox_00823,chase,verb,b2,,,,2706,"뒤쫓다, 추적하다",追いかける,They [chase] new business opportunities.,그들은 새로운 사업 기회를 쫓습니다.,彼らは新しいビジネスチャンスを追いかけています。,The cat [chased] the mouse.,고양이가 쥐를 뒤쫓았어.,猫がネズミを追いかけました。
ox_00824,chat,noun,a2,,,,2534,"대화, 채팅",おしゃべり、チャット,I had a quick [chat] with the boss.,상사님과 짧게 대화를 나눴습니다.,ボスと少し話をしました。,I like our [chats].,나는 우리 수다가 좋아.,私はあなたとのおしゃべりが好きです。
ox_00825,chat,verb,a2,,,,2534,"수다를 떨다, 채팅하다",おしゃべりする、チャットする,They [chat] about the project.,그들은 프로젝트에 대해 이야기를 나눕니다.,彼らはプロジェクトについて話をしています。,We [chat] after dinner every day.,우리는 매일 저녁 먹고 수다를 떨어.,私たちは毎日夕食のあとにおしゃべりする。
ox_00826,cheap,adjective,a1,,,,1095,싼,安い,The pen is very [cheap].,이 펜은 매우 저렴합니다.,このペンはとても安いです。,I want a [cheap] bag.,나는 싼 가방을 원해.,安いバッグが欲しいです。
ox_00827,cheap,adverb,b1,,,,1095,"싸게, 저렴하게",安く,We can't do it [cheap].,저렴하게 할 수는 없습니다.,安く済ませることはできません。,I bought it [cheap].,나 그거 싸게 샀어.,安く買ったよ。
ox_00828,cheat,noun,b1,,,,91153,"속임수, 부정행위",不正,No [cheats] in the company.,회사 내에 부정행위는 안 됩니다.,社内での不正は禁止です。,He is a big [cheat].,거짓말쟁이야.,彼は大嘘つきです。
ox_00829,cheat,verb,b1,,,,91154,"속이다, 부정행위를 하다",騙す,Don't [cheat] the system.,시스템을 속이지 마세요.,システムを悪用してはいけません。,Did you [cheat]?,너 부정행위 했니?,カンニングしましたか？
ox_00830,check,noun,a2,,,,580,"수표, 점검",小切手、点検,Pay by [check].,수표로 지불하세요.,小切手で支払ってください。,Can I have the [check]?,계산서(수표) 좀 주시겠어요?,お勘定をお願いします。
ox_00831,check,verb,a1,,,,580,확인하다,確認する,[Check] the files.,파일을 확인하세요.,ファイルを確認してください。,[Check] your phone.,폰 확인해봐.,スマホをチェックして。
ox_00832,cheek,noun,b2,,,,2793,"볼, 뺨",ほほ、頬,She kissed him on the [cheek].,그녀는 그의 뺨에 입을 맞췄습니다.,彼女は彼の頬にキスをしました。,His [cheeks] turned red with cold.,추위 때문에 그의 볼이 빨개졌어.,寒さで彼の頬が赤くなりました。
ox_00833,cheer,noun,b2,,,,91155,"환호, 격려",歓声、声援,A loud [cheer] went up from the crowd.,군중들로부터 큰 환호가 터져 나왔습니다.,群衆から大きな歓声が上がりました。,Your support gave me a [cheer].,네 지지가 나에게 격려가 되었어.,あなたのサポートが励みになりました。
ox_00834,cheer,verb,b2,,,,91156,"환호하다, 응원하다",歓声を上げる、元気づける,The crowd [cheered] for the winning team.,군중은 승리한 팀에게 환호했습니다.,群衆は勝利したチームに歓声を上げました。,I went to [cheer] for my brother.,나는 형을 응원하러 갔어.,私は兄の応援に行きました。
ox_00835,cheerful,adjective,b1,,,,92077,"쾌활한, 기운찬",陽気な,She is a [cheerful] worker.,쾌활한 직원입니다.,彼女は陽気な従業員です。,He looks [cheerful] today.,오늘 그가 기운차 보이네.,今日彼は元気そうですね。
ox_00836,cheese,noun,a1,,,,2585,치즈,チーズ,We have bread and [cheese].,우리는 빵과 치즈를 준비했습니다.,パンとチーズを用意しました。,I like [cheese].,나는 치즈가 좋아.,私はチーズが好きです。
ox_00837,chef,noun,a2,,,,90691,"요리사, 주방장",シェフ、料理長,He is a top [chef].,최고의 요리사입니다.,彼はトップシェフです。,Ask the [chef] please.,요리사분께 여쭤보세요.,シェフに聞いてください。
ox_00838,chemical,adjective,b1,,,,1657,화학적인,化学の,A [chemical] factory in London.,런던에 있는 화학 공장.,ロンドンにある化学工場。,I hate [chemical] smells.,난 화학 제품 냄새가 싫어.,私は化学的な臭いが嫌いです。
ox_00839,chemical,noun,b1,,,,1657,화학 물질,化学物質,Store the [chemicals] safely.,화학 물질들을 안전하게 보관하세요.,化学物質を安全に保管してください。,He saw the [chemicals] in the lab.,그가 실험실에서 화학 물질들을 봤대.,彼はラボで化学物質を見ました。
ox_00840,chemistry,noun,a2,,,,90463,화학,化学,The project uses [chemistry] data.,프로젝트는 화학 자료를 활용합니다.,そのプロジェクトは化学データを使用します。,I study [chemistry] at school.,나는 학교에서 화학을 공부해.,私は学校で化学を勉強しています。
ox_00841,chest,noun,b1,,,,2468,"가슴, 상자",胸、箱,A big wood [chest] for files.,서류용 큰 나무 상자.,ファイル用の大きな木の箱。,My [chest] hurts.,나 가슴이 아파.,胸が痛いです。
ox_00842,chicken,noun,a1,,,,2339,"닭, 닭고기",鶏、鶏肉,We had [chicken] for lunch.,점심으로 닭고기를 먹었습니다.,昼食に鶏肉を食べました。,I like [chicken].,나는 닭고기가 좋아.,私は鶏肉が好きです。
ox_00843,chief,adjective,b2,,,,1155,"주요한, 최고의",主要な、最高の,Competition is our [chief] concern.,경쟁이 우리의 주요 관심사입니다.,競争が私たちの主な懸念事項です。,The [chief] reason was lack of money.,주된 이유는 돈 부족이었어.,主な理由は金銭不足でした。
ox_00844,chief,noun,b2,,,chiefs,1155,"장, 우두머리",長、上司,The [chief] of police gave a statement.,경찰서장이 성명을 발표했습니다.,警察署長が声明を出しました。,He is the [chief] of the department.,그는 부서의 장이야.,彼は部門の長です。
ox_00845,child,noun,a1,,,children,102,아이,子供,He is a good [child].,착한 아이입니다.,彼は良い子です。,The [child] is sleeping.,아이가 자고 있어.,子供が寝ています。
ox_00846,childhood,noun,b1,,,,1808,어린 시절,子供時代,He shared stories of his [childhood].,자신의 어린 시절 이야기를 나누었습니다.,彼は子供時代の話をしました。,I had a happy [childhood].,나는 행복한 어린 시절을 보냈어.,私は幸せな子供時代を過ごしました。
ox_00847,chip,noun,a2,,,,1910,"칩, 조각, 감자튀김",チップ、かけら、ポテトチップス,The new [chip] is very fast.,새로운 칩은 매우 빠릅니다.,新しいチップはとても速いです。,I want some potato [chips].,감자칩 좀 먹고 싶어.,ポテトチップスが食べたいです。
ox_00848,chocolate,noun,a1,,,,2620,초콜릿,チョコレート,We have [chocolate] for you.,당신을 위해 초콜릿을 준비했습니다.,あなたのためにチョコレートを用意しました。,I love [chocolate].,나는 초콜릿이 정말 좋아.,私はチョコレートが大好きです。
ox_00849,choice,noun,a2,,,,565,선택,選択,It was a good [choice].,그것은 좋은 선택이었습니다.,それは良い選択でした。,I have no [choice].,난 선택의 여지가 없어.,私には選択肢がありません。
ox_00850,choir,noun,b2,,,,91653,합창단,合唱団,The church [choir] sings every Sunday.,교회 합창단은 매주 일요일 노래합니다.,教会の合唱団は毎週日曜日に歌います。,She joined the school [choir].,그녀는 학교 합창단에 가입했어.,彼女は学校の合唱団に入りました。
ox_00851,choose,verb,a1,chose,chosen,,447,선택하다,選ぶ,[Choose] the best plan.,가장 좋은 계획을 선택하세요.,一番良い計画を選んでください。,[Choose] your favorite color.,제일 좋아하는 색을 골라봐.,好きな色を選んで。
ox_00852,chop,verb,b2,,,,91858,"썰다, 자르다",切る、刻む,[Chop] the wood for the fire.,땔감을 자르세요.,薪を割ってください。,[Chop] the onions finely.,양파를 잘게 썰어.,玉ねぎを細かく刻みなさい。
ox_00853,chronic,adjective,c1,,,,90763,"만성적인, 고질적인",慢性の、長引く,He suffers from [chronic] back pain every day.,그는 매일 만성적인 허리 통증을 겪고 있습니다.,彼は毎日慢性の腰痛に苦しんでいます。,The nation faces [chronic] unemployment issues.,그 나라는 고질적인 실업 문제에 직면해 있어.,その国は慢性的な失業問題に直面しています。
ox_00854,chunk,noun,c1,,,,92033,"덩어리, 상당한 양",塊、かなりの量,I ate a large [chunk] of chocolate after work.,퇴근 후에 초콜릿 한 덩어리를 크게 먹었습니다.,仕事の後にチョコレートの大きな塊を食べました。,A big [chunk] of the project is finished.,프로젝트의 상당 부분이 끝났어.,プロジェクトのかなりの部分が終わりました。
ox_00855,church,noun,a2,,,,744,교회,教会,The office is near the [church].,사무실은 교회 근처에 있습니다.,オフィスは教会の近くにあります。,I go to [church] on Sunday.,나는 일요일에 교회에 가.,私は日曜日に教会に行きます。
ox_00856,cigarette,noun,a2,,,,2356,담배,タバコ,Do not use [cigarettes] here.,이곳에서는 담배(궐련)를 피우지 마세요.,ここではタバコを吸わないでください。,He has a [cigarette].,담배를 가지고 있어.,彼はタバコを持っています。
ox_00857,cinema,noun,a1,,,,90839,영화관,映画館,The [cinema] is near here.,영화관이 이 근처에 있습니다.,映画館はこの近くにあります。,Let's go to the [cinema].,영화관 가자.,映画館に行きましょう。
ox_00858,circle,noun,a2,,,,1712,"원, 집단",円、グループ,A business [circle].,비즈니스계(집단).,ビジネス界。,Draw a [circle].,원을 그려봐.,円を描きなさい。
ox_00859,circle,verb,a2,,,,1712,"원을 그리다, 돌다",円を描く、回る,[Circle] the best answer.,정답에 동그라미를 치세요.,正解を丸で囲んでください。,Birds [circle] in the sky.,새들이 하늘에서 빙빙 돌고 있어.,鳥が空を回っています。
ox_00860,circuit,noun,b2,,,,90321,"회로, 순환",回路、巡回,There is a fault in the electric [circuit].,전기 회로에 결함이 있습니다.,電気回路に欠陥があります。,They completed the [circuit] of the track.,그들은 트랙 한 바퀴를 돌았어.,彼らはトラックを一周しました。
ox_00861,circulate,verb,c1,,,,92273,"순환하다, 유포되다",循環する、流布する,The news will [circulate] to all managers.,그 소식은 모든 매니저에게 유포될 것입니다.,そのニュースは全マネージャーに回覧されます。,Blood [circulates] through our bodies.,피가 우리 몸을 순환해.,血液は体内を循環します。
ox_00862,circulation,noun,c1,,,,91443,"순환, 발행 부수",循環、発行部数,The journal has a large [circulation] globally.,그 학술지는 전 세계적으로 발행 부수가 많습니다.,その雑誌は世界的に発行部数が多いです。,Daily exercise improves blood [circulation].,매일의 운동은 혈액 순환을 개선해 줘.,毎日の運動は血行を良くします。
ox_00863,circumstance,noun,b2,,,,1229,"상황, 환경", 事情、状況,"Under the current [circumstances], we must wait.",현재 상황에서는 기다려야 합니다.,現在の状況下では、待たなければなりません。,The [circumstances] of the accident are unknown.,사고 상황은 알려지지 않았어.,事故の詳細は不明です。
ox_00864,cite,verb,b2,,,,2277,"인용하다, 언급하다",引用する、挙げる,The report [cites] several successful examples.,보고서는 몇 가지 성공적인 사례를 인용하고 있습니다.,報告書はいくつかの成功例を引用しています。,Don't forget to [cite] your sources.,출처를 인용하는 것을 잊지 마.,出典を明記するのを忘れないでください。
ox_00865,citizen,noun,b2,,,,1451,"시민, 국민",市民、国民,Every [citizen] has the right to vote.,모든 시민은 투표할 권리가 있습니다.,すべての市民に投票権があります。,He is a [citizen] of South Korea.,그는 대한민국 국민이야.,彼は韓国の国民です。
ox_00866,citizenship,noun,c1,,,,91033,시민권,市民権,She applied for German [citizenship] last month.,그녀는 지난달에 독일 시민권을 신청했습니다.,彼女は先月、ドイツの市民権を申請しました。,[Citizenship] brings both rights and duties.,시민권은 권리와 의무를 모두 동반해.,市民権は権利と義務の両方をもたらします。
ox_00867,city,noun,a1,,,,269,"도시, 시의",都市、市,Tokyo is a very large [city] with many cultures.,도쿄는 다양한 문화가 공존하는 매우 큰 도시입니다.,東京は多様な文化を持つ非常に大きな都市です。,He lives in the center of the [city].,그는 도시 중심부에 살아.,彼は市の中心部に住んでいます。
ox_00868,civic,adjective,c1,,,,91330,"시민의, 도시의",市民の、都市の,The [civic] center is open to all residents.,시민 회관은 모든 거주자에게 개방되어 있습니다.,シビックセンターは全住民に公開されています。,He takes his [civic] duties very seriously.,그는 시민의 의무를 매우 진지하게 받아들여.,彼は市民としての義務をとても真剣に捉えています。
ox_00869,civil,adjective,b2,,,,1449,"민간의, 정중한",市民の、礼儀正しい,They filed a [civil] lawsuit against the firm.,그들은 회사를 상대로 민사 소송을 제기했습니다.,彼らは会社に対して民事訴訟を起こしました。,Please keep the discussion [civil] and professional.,토론을 정중하고 전문적으로 유지해 주세요.,議論は礼儀正しく専門的に行ってください。
ox_00870,civilian,adjective,c1,,,,2607,"민간의, 민간인용의",民間の、民間人の,The airport has both military and [civilian] operations.,그 공항은 군사 운항과 민간 운항을 모두 한다.,その空港は軍用運航と民間運航の両方を行っている。,Most [civilian] areas were reopened yesterday.,대부분의 민간 구역이 어제 다시 개방되었다.,多くの民間区域は昨日再開された。
ox_00871,civilian,noun,c1,,,,2607,민간인,民間人,The military protected the [civilians].,군대가 민간인들을 보호했습니다.,軍は民間人を保護しました。,"He is a [civilian] now, not a soldier.",그는 이제 군인이 아니라 민간인이야.,彼は今は兵士ではなく民間人です。
ox_00872,civilization,noun,b2,,,,91304,문명,文明,Ancient [civilizations] are fascinating to study.,고대 문명은 공부하기에 매력적입니다.,古代文明を学ぶのは魅力的です。,Western [civilization] has a long history.,서구 문명은 긴 역사를 가지고 있어.,西洋文明には長い歴史があります。
ox_00873,claim,noun,b1,,,,501,"주장, 청구",主張、請求,A [claim] for more money.,추가 자금(돈) 청구.,追加資金の請求。,That is a big [claim].,그건 큰 주장(호언장담)이네.,それは大きな主張ですね。
ox_00874,claim,verb,b1,,,,501,"주장하다, 요구하다",主張する、要求する,They [claim] that the plan is safe.,그들은 계획이 안전하다고 주장합니다.,彼らはその計画が安全だと主張しています。,He [claims] to be the winner.,자기가 이겼다고 주장해.,彼は自分が勝者だと主張しています。
ox_00875,clarify,verb,b2,,,,91713,명확하게 하다,明らかにする、解明する,The manager will [clarify] the new policy today.,매니저가 오늘 새 정책을 명확하게 설명할 것입니다.,マネージャーは今日、新政策を明確にします。,Could you [clarify] your last comment?,마지막 발언을 명확하게 다시 설명해 주시겠어요?,最後のご発言を詳しく説明していただけますか？
ox_00876,clarity,noun,c1,,,,91607,"명확성, 투명도",明快さ、明瞭さ,The report lacks [clarity] in its main goals.,보고서는 주요 목표에 있어 명확성이 부족합니다.,報告書は主な目標において明快さに欠けています。,I need some [clarity] on this issue.,이 문제에 대해 명확한 설명(명확성)이 필요해.,この問題について明確にする必要があります。
ox_00877,clash,noun,c1,,,,91411,"충돌, 갈등",衝突、対立,There was a [clash] between the two companies.,그 두 회사 사이에 충돌이 있었습니다.,その2つの会社の間に衝突がありました。,The colors of the logo [clash] with the background.,로고 색깔들이 배경과 안 어울려(충돌해).,ロゴの色が背景とぶつかっています。
ox_00878,class,noun,a1,,,,362,"수업, 학급, 계층",授業、クラス、階級,The [class] starts now.,수업이 지금 시작됩니다.,授業が今始まります。,I am in this [class].,난 이 반이야.,私はこのクラスです。
ox_00879,classic,adjective,b2,,,,1875,"전형적인, 고전적인",典型的な、古典的な,This is a [classic] case of mismanagement.,이것은 경영 부실의 전형적인 사례입니다.,これは経営ミスの典型的な例です。,I love [classic] movies.,나는 고전 영화를 좋아해.,私は古典映画が大好きです。
ox_00880,classic,noun,b2,,,,1875,"고전, 명작",古典、名作,The book is a [classic] of modern literature.,그 책은 현대 문학의 고전입니다.,その本は現代文学の古典です。,This car is a [classic].,이 차는 명차(클래식카)야.,この車はクラシックカーです。
ox_00881,classical,adjective,a2,,,,2480,"고전적인, 클래식의",古典的な、クラシックの,A [classical] office design.,고전적인 사무실 디자인.,古典的なオフィスのデザイン。,I like [classical] music.,나는 클래식 음악이 좋아.,私はクラシック音楽が好きです。
ox_00882,classification,noun,c1,,,,90812,"분류, 범주",分類、区分,The [classification] of the data is complete.,데이터 분류가 완료되었습니다.,データの分類が完了しました。,What is the security [classification]?,보안 등급(분류)이 어떻게 되니?,セキュリティ区分は何ですか？
ox_00883,classify,verb,b2,,,,92210,분류하다,分類する,We [classify] documents by level of secrecy.,우리는 보안 등급에 따라 서류를 분류합니다.,私たちは機密レベルに応じて書類を分類します。,The books are [classified] by subject.,책들은 주제별로 분류돼.,本は主題別に分類されています。
ox_00884,classroom,noun,a1,,,,90890,교실,教室,The [classroom] is clean.,교실이 깨끗합니다.,教室はきれいです。,Go to the [classroom].,교실로 가.,教室に行きなさい。
ox_00885,clause,noun,b1,,,,2529,"절, 조항",節、条項,Check the final [clause].,마지막 조항을 확인하세요.,最後の条項を確認してください。,I study the relative [clause].,나는 관계대명사절을 공부해.,私は関係節を勉強しています。
ox_00886,clean,adjective,a1,,,,842,깨끗한,きれいな,The desk is [clean].,책상이 깨끗합니다.,机はきれいです。,I like [clean] water.,나는 깨끗한 물이 좋아.,私はきれいな水が好きです。
ox_00887,clean,verb,a1,,,,842,청소하다,掃除する,[Clean] the office today.,오늘 사무실을 청소하세요.,今日、オフィスを掃除してください。,[Clean] your room.,방 청소해.,部屋を掃除しなさい。
ox_00888,clear,adjective,a2,,,,369,"명확한, 맑은",明確な、晴れた,The instructions are [clear].,지시 사항이 명확합니다.,指示は明確です。,The sky is [clear] today.,오늘 하늘이 맑네.,今日は空が晴れています。
ox_00889,clear,verb,b1,,,,369,"치우다, 맑아지다, 승인하다",片付ける、晴れる、承認する,Please [clear] your desk.,책상을 정리하세요(치우세요).,机を片付けてください。,The sky [cleared] after the rain.,비 온 뒤에 하늘이 맑아졌어.,雨の後、空が晴れました。
ox_00890,clearly,adverb,a2,,,,728,명확하게,はっきりと,Please speak [clearly].,명확하게 말씀해 주세요.,はっきりと話してください。,I can't see [clearly].,잘 안 보여.,はっきり見えません。
ox_00891,clerk,noun,b2,,,,91331,"사무원, 점원",事務員、店員,The [clerk] helped me with the paperwork.,사무원이 서류 작업을 도와주었습니다.,事務員が書類作成を手伝ってくれました。,Ask the hotel [clerk] for a key.,호텔 직원에게 열쇠를 물어봐.,ホテルのフロント係に鍵を頼んでください。
ox_00892,clever,adjective,a2,,,,90742,"영리한, 똑똑한",賢い、利口な,It was a [clever] plan.,그것은 영리한 계획이었습니다.,それは賢い計画でした。,He is a [clever] boy.,똑똑한 아이야.,彼は賢い子です。
ox_00893,click,noun,b1,,,,2514,클릭 소리,クリック音,I heard a [click] from the device.,장치에서 딸깍 소리가 들렸습니다.,装置からカチッという音がしました。,A loud [click].,큰 클릭 소리였어.,大きなクリック音でした。
ox_00894,click,verb,b1,,,,2514,클릭하다,クリックする,[Click] the red button.,빨간 버튼을 클릭하세요.,赤いボタンをクリックしてください。,It [clicked] into place.,그거 딱 소리 나면서 맞더라.,カチッと音がしてはまりましたよ。
ox_00895,client,noun,b1,,,,90275,"고객, 의뢰인",クライアント,The [client] is happy with the report.,고객이 보고서에 만족해합니다.,クライアントは報告書に満足しています。,She is John's law [client].,그의 법률 의뢰인이야.,彼女は彼の法律のクライアントです。
ox_00896,cliff,noun,b2,,,,91034,절벽,崖、絶壁,The hotel stands on a high [cliff].,호텔은 높은 절벽 위에 서 있습니다.,ホテルは高い崖の上に建っています。,Don't go too near the [cliff] edge.,절벽 끝에 너무 가까이 가지 마.,崖の縁に近づきすぎないでください。
ox_00897,climate,noun,a2,,,,1906,기후,気候,The [climate] affects our sales.,기후가 우리 매출에 영향을 미칩니다.,気候が売上に影響します。,I like this warm [climate].,나는 이런 따뜻한 기후가 좋아.,私はこの温かい気候が好きです。
ox_00898,climb,noun,b1,,,,1434,"등반, 상승",登山、上昇,A fast [climb] in sales.,매출의 가파른 상승.,売上の急上昇。,It was a hard [climb].,정말 힘든 등반이었어.,大変な登山でした。
ox_00899,climb,verb,a1,,,,1434,"오르다, 등반하다",登る,Sales [climb] every year.,매출이 매년 상승(등반)하고 있습니다.,売り上げは毎年上がっています。,[Climb] the tree.,나무에 올라가 봐.,木に登りなさい。
ox_00900,cling,verb,c1,clung,clung,,92162,"매달리다, 고수하다",しがみつく、固執する,Investors tend to [cling] to safe assets during crises.,투자자들은 위기 때 안전 자산에 매달리는 경향이 있습니다.,投資家は危機の際、安全資産にしがみつく傾向があります。,The smell of smoke [clung] to his clothes.,연기 냄새가 그의 옷에 배어 있었어(매달려 있었어).,タバコの臭いが彼の服に染み付いていました。
